Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
3040,Andre,Turner,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
3041,Ledell,Eackles,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
3042,Jim,Grandholm,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
3043,Kelvin,Upshaw,7,Dallas Mavericks,Mavericks,,DAL,Dallas,West,Southwest
3044,Leon,Wood,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3045,Terry,Mills,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
3046,Darnell,Valentine,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
3047,Morlon,Wiley,22,Orlando Magic,Magic,,ORL,Orlando,East,Southeast
3048,Irving,Thomas,14,Los Angeles Lakers,Lakers,,LAL,Los Angeles,West,Pacific
3049,John,Starks,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
3050,Pete,Myers,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3051,Keith,Askins,16,Miami Heat,Heat,,MIA,Miami,East,Southeast
3052,Anthony,Bonner,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3053,Dale,Ellis,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
3054,Pat,Cummings,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
3055,Kenny,Walker,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
3056,Mario,Elie,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
3057,Anthony,Mason,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
3058,Tim,Legler,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
3059,Dan,O'Sullivan,29,Utah Jazz,Jazz,,UTA,Utah,West,Northwest
3060,Dan,Godfread,18,Minnesota Timberwolves,Timberwolves,,MIN,Minnesota,West,Northwest
3061,Henry,James,6,Cleveland Cavaliers,Cavaliers,,CLE,Cleveland,East,Central
3062,Jim,Les,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3063,Paul,Mokeski,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3064,Earl,Cureton,4,Charlotte Hornets,Hornets,,CHA,Charlotte,East,Southeast
3065,Anthony,Frederick,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3066,Jawann,Oldham,12,Indiana Pacers,Pacers,,IND,Indiana,East,Central
3067,Jeff,Sanders,4,Charlotte Hornets,Hornets,,CHA,Charlotte,East,Southeast
3068,Scott,Haffner,4,Charlotte Hornets,Hornets,,CHA,Charlotte,East,Southeast
3069,John,Long,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
3070,Ron,Harper,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
3071,Tony,Harris,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
3072,Clifford,Lett,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3073,Clinton,Smith,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
3074,John,Williams,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
3075,Craig,Neal,8,Denver Nuggets,Nuggets,,DEN,Denver,West,Northwest
3076,Mike,Higgins,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3077,Joe,"Barry,Carroll",24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
3078,Gerald,Henderson,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
3079,Everette,Stephens,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
3080,Charles,Smith,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
3081,David,Wingate,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
3082,Tony,Dawson,26,Sacramento Kings,Kings,,SAC,Sacramento,West,Pacific
3083,Gary,Leonard,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
3084,A.J.,Wynder,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
3085,Adrian,Dantley,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
3086,Derek,Smith,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
3087,Vincent,Askew,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
3088,Robert,Reid,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
5117,Mitchell,Creek,3,Brooklyn Nets,Nets,,BKN,Brooklyn,East,Atlantic
39,Michael,Beasley,25,Portland Trail Blazers,Trail Blazers,F,POR,Portland,West,Northwest
245,Wesley,Johnson,30,Washington Wizards,Wizards,F-G,WAS,Washington,East,Southeast
26,Wade,Baldwin IV,11,Houston Rockets,Rockets,G,HOU,Houston,West,Southwest
431,Lance,Stephenson,14,Los Angeles Lakers,Lakers,G,LAL,Los Angeles,West,Pacific
438,Jared,Terrell,18,Minnesota Timberwolves,Timberwolves,G,MIN,Minnesota,West,Northwest
63,Isaiah,Briscoe,22,Orlando Magic,Magic,G,ORL,Orlando,East,Southeast
